,Cumulative cases at the beginning of the month
Jan 2020,0
Feb 2020,7
Mar 2020,62
Apr 2020,213199
May 2020,1035353
Jun 2020,1734040
Jul 2020,2573393
Aug 2020,4456389
Sep 2020,5936572
Oct 2020,7115491
Nov 2020,8952086
Dec 2020,13234551
Jan 2021,19346790
Feb 2021,25817939
Mar 2021,28244591
Apr 2021,30095776
May 2021,31948761
Jun 2021,32938999
Jul 2021,33333002
Aug 2021,34766907
Sep 2021,38936362
Oct 2021,43092756
Nov 2021,45665262
Dec 2021,48162778
