,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020
Motor fuel,240.716,232.657,208.412,165.883,160.062,179.292,189.118,192.834,192.991,191.918,191.225,207.173
Gasoline ,239.525,231.454,207.111,164.379,158.63,178.133,188.115,191.838,192.061,191.125,190.381,206.353
"Gasoline, unleaded regular",234.71,225.985,201.274,158.506,153.336,172.932,182.647,186.34,186.595,186.246,185.006,201.213
"Gasoline, unleaded midgrade",260.374,250.992,230.437,190.05,180.778,199.403,210.311,213.858,214.398,212.382,213.013,228.422
"Gasoline, unleaded premium",254.945,247.667,229.783,192.332,182.421,199.415,209.282,214.176,214.071,211.496,211.95,224.803
Other motor fuels,224.344,219.92,206.022,187.047,177.909,179.259,181.053,181.751,178.757,173.759,173.358,184.091
Energy services,204.905,204.298,203.297,203.498,202.53,202.108,202.151,201.777,205.099,206.678,208.868,209.167
Electricity,214.946,214.694,214.198,214.356,212.6,212.061,212.688,212.292,214.308,216.839,217.919,218.81
Utility ,171.969,170.35,167.913,168.236,169.554,169.477,167.839,167.535,174.554,173.361,178.704,177.291
All items less food and energy,266.476,267.07,266.795,265.601,265.441,266.065,267.715,268.747,269.264,269.296,269.887,270.117
Commodities less food and energy commodities,144.099,144.322,143.84,142.827,142.543,142.849,143.834,145.344,146.476,146.139,146.266,146.488
Household furnishings and supplies,90.49,90.596,90.344,90.881,91.391,91.939,92.362,93.292,93.075,92.582,93.39,93.259
Window and floor coverings and other linens,57.547,58.254,57.847,57.421,56.635,57.816,57.389,57.807,57.848,56.977,55.374,54.127
Floor coverings,112.874,113.133,112.681,112.365,111.506,111.117,111.588,112.865,111.988,112.178,111.684,110.208
Window coverings,65.554,66.482,67.422,67.984,66.322,65.834,64.612,66.801,66.168,66.408,64.727,63.979
Other linens,43.818,44.495,43.796,43.143,42.628,44.37,44.027,43.865,44.203,42.96,41.311,40.055
Furniture and bedding,113.491,114.491,113.176,111.007,112.314,113.116,112.222,114.047,114.96,114.508,115.428,115.696
Bedroom furniture,131.483,130.443,127.818,124.797,125.828,127.789,126.29,128.574,127.884,127.332,129.517,129.718
"Living room, kitchen, and dining room furniture",87.137,88.805,88.279,86.589,87.748,87.253,86.601,87.827,89.513,89.175,89.242,89.432
Other furniture,68.381,69.462,68.824,68.203,69.223,71.177,71.121,72.416,72.702,72.475,73.221,73.562
Appliances,76.945,76.916,77.246,78.096,78.102,79.43,80.329,81.924,80.482,80.776,82.533,82.329
Major appliances,80.086,83.569,83.702,84.731,84.574,86.054,88.633,92.844,90.997,93.519,96.725,93.795
Laundry equipment,89.365,89.93,93.603,92.866,88.049,89.136,98.815,104.334,98.514,99.049,105.065,105.703
Other appliances,68.019,66.791,66.916,67.553,67.619,68.708,69.0,68.905,68.268,67.933,68.839,69.666
Other household equipment and furnishings,50.028,49.116,49.131,50.367,49.991,50.171,50.598,51.346,51.394,50.128,50.207,50.747
"Clocks, lamps, and decorator items",36.375,36.17,35.938,37.053,36.954,36.776,36.823,37.433,37.184,36.657,37.049,36.818
Indoor plants and flowers,129.679,127.573,130.19,133.109,132.346,132.614,135.018,133.407,134.619,135.396,135.187,137.239
Dishes and flatware,49.062,48.314,48.784,47.719,47.459,48.047,47.269,48.627,47.696,45.748,46.648,45.292
Nonelectric cookware and tableware,80.828,79.219,77.99,77.431,77.532,77.605,78.5,78.793,80.257,79.455,77.846,78.322
"Tools, hardware, outdoor equipment and supplies",90.92,90.948,91.057,91.758,92.15,92.941,92.86,93.204,93.573,93.472,93.787,94.233
"Tools, hardware and supplies",98.404,99.017,99.638,100.068,99.755,100.082,100.52,100.979,102.259,102.396,100.491,100.602
Outdoor equipment and supplies,87.388,87.347,87.257,87.891,88.558,89.693,89.39,89.504,89.533,89.317,90.651,91.024
Housekeeping supplies,189.899,189.614,190.279,195.194,196.757,196.827,200.321,199.34,196.956,198.021,200.348,199.451
Household cleaning products,120.977,120.154,121.468,122.61,123.45,124.37,126.653,126.075,126.036,126.666,126.85,128.018
Household paper products,177.019,177.497,177.763,185.841,186.222,186.57,193.457,191.513,184.698,184.48,191.923,192.163
Miscellaneous household products,118.036,118.206,117.825,121.416,123.047,122.021,122.471,122.282,121.312,122.582,123.008,120.091
Apparel,123.985,124.524,121.99,116.266,113.598,115.482,116.724,117.45,116.918,115.561,116.622,118.21
Men's and boys' apparel,117.943,117.614,117.805,112.414,109.247,111.835,112.435,113.385,111.941,108.585,110.881,113.465
Men's apparel,121.751,120.891,120.853,115.153,112.264,113.961,113.41,115.696,114.875,110.898,113.133,115.889
"Men's suits, sport coats, and outerwear",105.184,106.204,105.402,93.501,89.643,93.816,95.607,92.539,89.711,84.046,85.874,89.792
"Men's underwear, nightwear, swimwear, and accessories",157.608,163.036,161.888,158.653,156.995,159.121,157.693,163.379,168.442,164.311,160.343,156.094
Men's shirts and sweaters,74.789,73.37,74.096,70.709,69.348,69.854,68.521,69.939,68.637,66.671,69.141,72.493
Men's pants and shorts,124.175,121.106,121.716,115.952,113.441,112.648,112.607,118.342,116.37,114.908,117.056,117.849
Boys' apparel,101.816,101.732,104.941,99.189,96.527,100.036,105.868,104.607,99.686,98.585,99.899,102.157
Women's and girls' apparel,105.724,107.247,104.073,98.412,95.56,96.441,97.704,98.464,98.753,97.836,97.807,99.187
Women's apparel,107.725,109.027,105.684,99.037,96.083,96.808,98.461,98.965,99.291,98.937,98.341,99.531
Women's outerwear,95.092,99.133,98.046,89.885,88.244,88.612,92.701,91.217,91.665,92.922,91.268,94.022
Women's dresses,111.674,112.717,106.342,96.149,86.822,86.422,89.975,94.405,94.74,95.375,98.326,101.498
Women's suits and separates,74.39,73.879,72.057,68.354,67.171,67.711,68.693,68.653,69.075,68.719,66.888,68.319
"Women's underwear, nightwear, swimwear, and accessories",106.658,109.233,106.497,100.321,95.044,97.148,97.854,98.733,99.293,98.324,99.474,98.277
Girls' apparel,96.007,98.5,96.101,94.878,92.5,94.069,93.587,95.482,95.607,92.188,94.684,96.899
Footwear,139.404,139.511,135.651,130.299,128.368,130.122,131.72,132.067,130.842,132.341,134.139,134.608
Men's footwear,140.498,141.221,138.063,136.513,133.844,135.467,137.337,138.111,138.746,139.258,137.779,135.585
Boys' and girls' footwear,158.691,163.254,157.345,151.105,148.393,150.973,149.098,145.829,142.784,148.071,156.198,154.288
Women's footwear,127.39,126.477,124.073,117.564,115.149,115.158,118.201,120.548,119.447,120.051,120.987,122.298
Infants' and toddlers' apparel,117.996,116.972,111.905,107.78,107.27,114.285,115.197,115.566,111.316,107.518,111.295,110.367
Jewelry and watches,174.573,172.506,172.617,166.331,165.636,167.356,169.727,170.193,174.502,170.469,168.249,172.982
Watches,140.923,141.651,143.381,141.765,143.456,142.676,141.982,145.826,144.529,144.976,143.649,146.158
Jewelry,173.724,168.492,167.107,163.612,161.426,162.746,167.019,165.727,171.462,169.654,164.74,168.156
Transportation commodities less motor fuel,104.101,104.337,104.428,104.204,104.275,103.805,105.209,107.378,110.315,110.551,109.932,109.726
New vehicles,146.736,146.898,146.287,146.225,146.671,146.744,147.898,147.935,148.376,149.023,148.907,149.569
New cars and trucks,101.679,101.799,101.377,101.338,101.635,101.689,102.5,102.518,102.824,103.271,103.181,103.64
New cars,142.994,143.528,142.843,142.487,142.759,143.297,144.343,144.534,144.951,145.108,144.93,145.72
New trucks,156.211,156.506,155.607,155.675,156.134,156.163,157.23,157.216,157.716,158.809,158.796,159.383
Used cars and trucks,137.062,137.591,138.717,138.17,137.683,136.044,139.211,146.726,156.56,156.441,154.433,152.657
Motor vehicle parts and equipment,148.335,148.457,148.19,147.403,148.642,147.643,148.123,148.096,148.193,147.723,147.439,148.363
Tires,125.288,125.59,125.377,124.59,125.412,124.033,124.958,125.634,125.058,125.43,124.884,125.806
Vehicle accessories other than tires,180.915,180.573,180.216,179.557,181.622,181.725,181.028,179.271,181.013,178.541,178.95,179.729
Vehicle parts and equipment other than tires,171.141,170.55,170.771,170.077,172.66,173.423,171.761,170.091,173.247,169.711,169.73,169.492
"Motor oil, coolant, and fluids",398.627,412.025,396.931,399.661,395.833,393.425,397.977,388.697,390.613,382.656,385.426,390.184
Medical care commodities,386.184,383.68,383.665,383.321,383.832,384.64,384.508,384.042,384.111,381.176,380.137,378.694
Medicinal drugs,126.602,125.586,125.689,126.065,125.867,125.948,125.735,125.435,125.743,124.795,124.718,124.44
Prescription drugs,537.047,532.513,531.509,534.719,533.453,534.047,533.199,531.993,531.652,529.688,528.906,526.529
Nonprescription drugs,96.059,95.815,96.565,96.121,96.521,96.411,96.423,97.357,97.56,96.251,96.342,95.941
Medical equipment and supplies,101.605,101.32,101.093,100.438,101.902,101.831,102.184,100.979,98.982,97.591,92.429,92.219
Recreation commodities,79.741,79.659,78.984,78.259,78.259,78.149,78.535,79.415,79.118,79.021,79.286,79.456
Video and audio products,37.056,36.951,37.075,36.885,36.663,36.383,36.42,36.914,37.128,37.12,36.945,37.06
Televisions,1.415,1.392,1.389,1.386,1.373,1.347,1.341,1.345,1.349,1.344,1.359,1.368
Other video equipment,9.612,9.646,9.576,9.585,9.682,9.576,9.446,9.844,9.913,9.874,9.684,9.924
Audio equipment,26.346,26.645,26.999,26.793,26.578,26.432,26.775,26.994,27.063,27.347,26.916,26.826
Recorded music and music subscriptions,79.611,79.099,79.764,78.618,77.675,78.89,78.984,80.717,82.083,81.271,80.883,79.919
Pets and pet products,205.46,206.424,205.207,202.746,202.407,200.475,200.726,203.281,200.833,199.186,200.897,201.995
Pet food,155.686,156.738,156.25,155.792,155.297,154.131,154.041,155.271,154.382,153.825,155.057,155.04
"Purchase of pets, pet supplies, accessories",119.197,119.569,118.424,115.184,115.279,113.859,114.255,116.451,114.164,112.545,113.746,115.05
Sporting goods,114.17,113.697,111.468,110.353,111.067,112.416,113.858,115.167,114.623,114.998,115.767,116.346
Sports vehicles including bicycles,158.651,156.907,153.566,152.322,152.507,156.054,159.858,159.697,157.628,160.308,161.063,159.73
Sports equipment,77.069,78.182,77.458,76.454,75.969,76.023,76.442,77.435,78.269,77.071,77.635,80.437
Photographic equipment and supplies,55.085,57.758,57.759,57.419,56.598,56.768,57.132,56.402,55.469,55.296,55.502,56.737
Photographic equipment,22.896,24.08,24.054,23.888,23.444,23.421,23.653,23.5,23.006,22.785,22.968,23.809
Recreational reading materials,263.407,264.224,263.738,261.502,264.242,268.709,268.818,270.573,266.863,269.735,270.007,271.818
Newspapers and magazines,197.476,194.308,195.683,194.63,195.864,198.749,200.192,201.698,198.627,199.21,201.152,201.633
Recreational books,95.563,98.419,97.037,95.811,97.351,99.258,98.37,98.916,97.76,99.908,98.89,100.111
Other recreational goods,34.212,33.891,33.665,33.45,33.28,32.935,33.032,33.351,33.669,33.632,33.49,33.088
Toys,29.977,29.51,29.378,29.115,28.974,28.714,28.646,28.693,29.083,29.163,29.042,28.962
"Toys, games, hobbies and playground equipment",37.635,36.739,36.608,36.525,36.736,36.412,36.798,37.142,37.169,37.723,37.462,37.461
"Sewing machines, fabric and supplies",99.282,101.928,94.722,93.505,95.392,90.99,96.08,110.478,106.717,101.861,102.029,91.373
Music instruments and accessories,103.043,104.056,105.216,106.458,104.849,104.364,105.829,105.398,106.192,106.023,105.173,102.637
Education and communication commodities,68.834,69.229,69.504,69.612,69.514,69.11,68.759,69.071,67.368,67.216,67.462,67.97
Educational books and supplies,668.706,669.439,670.813,677.388,679.384,674.829,676.248,681.888,683.218,685.125,681.591,684.986
College textbooks,228.855,230.845,231.129,233.493,233.322,232.707,233.885,235.695,235.046,234.783,233.731,235.545
Information technology commodities,49.189,49.531,49.753,49.723,49.596,49.319,48.975,49.147,47.583,47.409,47.7,48.093
"Computers, peripherals, and smart home assistants",37.85,38.424,38.74,39.014,38.699,38.822,38.453,38.838,37.239,37.054,37.881,38.571
Computer software and accessories,27.69,27.816,27.477,26.42,26.532,25.931,26.661,26.309,24.823,25.002,26.142,26.59
"Telephone hardware, calculators, and other consumer information items",14.909,14.628,14.563,14.295,14.51,14.052,13.977,13.76,13.852,13.833,13.052,12.657
Alcoholic beverages,253.352,254.132,255.307,255.988,257.934,258.34,257.591,258.279,257.866,258.731,259.769,259.641
Alcoholic beverages at home,205.384,206.152,207.692,208.769,209.777,209.863,209.96,210.009,209.294,210.074,210.774,210.37
"Beer, ale, and other malt beverages at home",232.809,234.787,236.628,239.95,240.455,239.061,240.023,239.49,238.421,237.859,239.303,237.9
Distilled spirits at home,193.972,193.933,193.795,195.257,195.735,197.213,195.907,195.806,197.843,197.57,198.081,199.123
Whiskey at home,207.422,209.403,207.491,206.391,204.757,207.329,210.312,209.942,211.356,211.596,211.826,211.197
"Distilled spirits, excluding whiskey, at home",189.638,189.536,190.477,192.102,193.369,193.447,191.909,192.667,193.725,193.517,193.242,193.642
Wine at home,169.606,169.937,171.507,171.433,172.219,172.833,172.862,172.6,171.767,173.53,173.992,174.066
Alcoholic beverages away from home,358.947,359.716,359.743,359.839,363.372,364.722,361.401,364.232,364.456,365.392,367.5,367.636
"Beer, ale, and other malt beverages away from home",176.212,176.336,176.064,175.799,177.805,178.799,175.864,178.382,178.287,177.245,178.846,179.773
Wine away from home,193.173,193.376,193.479,194.611,196.208,197.338,195.772,196.483,196.58,197.211,198.046,198.326
Other goods,115.95,116.63,116.941,116.814,116.424,116.782,116.738,116.537,116.7,116.584,117.081,117.445
Tobacco and smoking products,1144.276,1151.585,1162.951,1158.064,1156.029,1168.659,1177.901,1182.062,1186.348,1184.078,1187.113,1199.184
