,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020
All items,258.82,259.05,257.953,255.902,255.768,257.214,258.723,259.681,260.209,260.325,260.817,261.775
Food,260.738,261.696,262.588,266.493,268.417,270.044,268.937,269.13,269.152,269.655,269.42,270.419
Food at home,242.572,243.749,244.96,251.271,253.789,255.505,252.687,252.439,251.351,251.644,251.0,251.924
Cereals and bakery products,275.255,276.733,277.05,285.043,284.556,285.686,284.643,284.193,284.316,285.288,283.926,285.137
Cereals and cereal products,226.875,226.458,228.047,231.766,235.137,235.566,232.715,231.064,233.01,233.135,233.188,234.57
Flour and prepared flour mixes,233.896,232.568,234.969,237.985,236.917,241.972,238.58,239.261,238.125,240.808,242.569,242.654
Breakfast cereal,219.421,217.695,221.578,224.844,228.013,230.49,226.335,221.886,226.417,226.858,225.593,227.887
"Rice, pasta, cornmeal",237.732,239.446,238.912,244.852,249.304,248.073,247.693,247.294,243.879,242.619,242.967,244.594
Rice,159.609,159.819,159.431,165.218,166.804,166.399,167.349,167.389,166.567,165.524,167.444,167.403
Bakery products,304.479,305.85,306.338,315.786,313.372,314.487,314.422,314.673,314.275,315.13,312.756,313.199
Bread,185.053,186.696,187.308,194.227,190.654,189.75,190.894,191.783,192.332,193.623,192.66,193.093
White bread,338.123,340.669,343.249,355.262,347.542,345.37,347.792,351.435,350.518,352.991,350.717,350.661
Bread other than white,357.306,360.304,361.991,374.51,369.676,368.162,369.721,369.878,373.051,375.864,373.592,376.157
"Fresh biscuits, rolls, muffins",177.573,179.252,178.327,186.74,185.443,185.882,185.444,187.814,187.391,185.657,184.374,184.818
"Cakes, cupcakes, and cookies",290.245,286.749,291.914,297.128,294.535,299.889,297.455,296.702,295.226,298.379,293.805,297.215
Cookies,271.855,268.435,272.291,286.192,277.178,279.055,278.336,279.458,277.278,282.99,278.205,280.096
Fresh cakes and cupcakes,316.44,313.595,316.188,308.843,314.521,325.515,320.66,313.592,311.898,309.678,310.119,310.389
Other bakery products,266.513,272.119,269.47,278.003,278.646,278.969,279.649,277.506,277.0,276.844,278.109,278.099
"Fresh sweetrolls, coffeecakes, doughnuts",310.438,314.009,306.855,322.216,323.281,329.159,327.321,326.261,319.747,324.387,327.615,327.884
"Crackers, bread, and cracker products",300.656,308.919,309.223,321.661,320.845,317.589,318.162,316.441,315.848,313.824,321.473,313.879
"Frozen and refrigerated bakery products, pies, tarts, turnovers",266.138,272.092,267.372,271.06,273.443,273.487,274.459,271.317,275.452,275.505,269.265,275.147
"Meats, poultry, fish, and eggs",253.762,254.29,254.64,265.709,275.553,280.985,270.412,265.732,264.744,265.688,265.968,265.377
"Meats, poultry, and fish",257.607,258.306,258.251,267.606,279.103,285.437,274.743,270.205,269.289,270.066,270.202,270.14
Meats,261.63,262.383,261.601,270.347,286.337,296.983,281.832,274.545,272.262,273.799,273.967,274.302
Beef and veal,317.201,316.952,316.495,328.243,363.622,381.056,349.704,334.166,332.298,334.507,334.846,333.961
Uncooked ground beef,277.71,276.504,280.336,293.69,314.981,336.424,309.349,297.108,291.531,292.378,293.417,290.523
Uncooked beef roasts,238.609,241.55,241.647,253.826,303.401,307.274,280.565,266.123,264.233,256.383,257.939,256.824
Uncooked beef steaks,214.842,214.636,212.337,216.875,242.047,254.408,232.221,221.028,218.989,222.437,222.028,223.095
Uncooked other beef and veal,251.451,253.389,251.51,260.944,283.515,297.987,280.408,270.645,269.271,270.383,271.841,274.15
Pork,217.313,219.799,218.457,224.99,231.001,238.547,230.904,226.274,223.667,226.515,226.447,228.272
"Bacon, breakfast sausage, and related products",164.207,163.221,161.668,162.791,162.337,172.341,169.942,165.845,165.046,169.288,170.136,173.141
Bacon and related products,306.883,306.826,297.234,300.261,300.047,324.402,319.097,305.664,306.188,314.009,320.446,326.021
Breakfast sausage and related products,149.279,147.591,152.224,151.755,150.046,154.801,153.365,154.791,151.635,155.364,152.453,154.864
Ham,210.949,217.752,220.41,216.641,224.102,226.439,213.539,214.09,212.716,211.691,207.657,209.918
"Ham, excluding canned",234.532,244.126,244.589,241.22,251.371,252.482,237.974,238.642,236.12,235.633,231.075,234.402
Pork chops,188.587,193.058,190.618,204.752,221.889,231.435,218.186,211.034,212.637,204.053,210.221,208.335
"Other pork including roasts, steaks, and ribs",128.192,130.577,128.046,141.01,143.872,146.516,143.26,141.009,134.107,139.632,136.806,136.509
Other meats,227.946,227.564,227.185,234.208,235.482,240.055,238.542,239.882,237.62,236.15,236.405,236.311
Frankfurters,239.722,231.642,235.295,248.822,252.874,265.24,271.478,262.686,252.615,255.492,244.816,249.612
Lunchmeats,146.821,146.226,145.743,150.098,152.268,153.039,151.031,152.577,153.05,152.707,152.295,152.204
Poultry,231.801,232.82,235.803,246.991,252.418,252.765,247.459,247.053,247.951,246.904,246.865,244.527
Chicken,149.467,149.496,151.403,160.175,163.158,163.525,159.299,158.494,157.875,157.681,159.378,158.208
Fresh whole chicken,248.944,246.729,249.805,267.535,272.87,272.167,268.191,263.988,258.26,258.094,261.893,259.196
Fresh and frozen chicken parts,222.016,223.032,225.667,237.339,241.52,242.565,235.603,234.901,236.015,234.952,237.487,236.543
Other uncooked poultry including turkey,149.8,152.615,155.099,155.686,160.313,159.119,160.437,162.759,168.397,164.89,161.706,157.876
Fish and seafood,300.989,301.024,299.4,309.293,311.93,309.635,308.75,309.193,311.236,311.641,311.92,313.653
Fresh fish and seafood,188.142,188.646,188.744,196.627,196.371,193.048,193.139,190.569,194.658,195.043,194.691,196.412
Processed fish and seafood,149.282,148.494,147.69,152.742,153.964,154.217,153.064,155.117,154.363,154.223,154.843,155.058
Shelf stable fish and seafood,215.459,212.508,211.27,219.757,223.527,222.301,223.545,225.007,225.678,223.707,227.387,225.868
Frozen fish and seafood,308.878,309.087,303.056,320.56,319.276,322.325,315.869,322.341,318.895,322.144,321.69,322.629
Eggs,203.39,201.71,207.307,240.596,228.978,222.693,213.715,207.205,205.29,208.391,210.538,203.092
Dairy and related products,221.628,224.105,225.347,228.703,230.97,230.119,228.278,231.681,230.55,228.453,229.118,230.989
Milk,145.861,146.018,146.25,148.502,147.837,146.938,147.182,152.51,152.171,148.429,148.902,151.444
Fresh whole milk,207.774,208.088,208.313,210.45,210.103,209.256,210.506,219.345,219.669,213.431,214.79,219.713
Fresh milk other than whole,150.406,150.301,150.458,153.845,153.229,152.011,152.209,156.843,156.314,152.36,152.204,155.272
Cheese and related products,233.932,236.598,236.61,240.897,242.776,242.237,238.402,244.669,243.109,243.122,242.399,243.45
Ice cream and related products,222.704,221.477,226.344,230.489,236.226,237.153,236.56,233.566,232.639,228.245,230.372,230.352
Other dairy and related products,146.9,149.05,151.2,152.772,155.743,153.738,153.702,152.935,151.59,151.87,151.34,152.089
Fruits and vegetables,297.874,297.828,300.102,304.629,306.222,307.513,307.676,308.35,307.19,307.498,307.575,307.102
Fresh fruits and vegetables,344.899,345.046,347.321,351.484,353.718,355.218,355.588,356.695,354.577,355.312,354.848,353.494
Fresh fruits,349.945,350.257,353.831,358.375,358.381,356.85,357.63,362.542,357.981,358.818,360.818,359.941
Apples,324.892,319.835,313.666,328.937,327.706,320.881,317.705,314.575,320.124,329.621,325.341,328.446
Bananas,195.848,195.034,195.553,195.89,196.546,195.506,192.992,189.923,190.21,190.704,191.855,189.622
Citrus fruits,253.292,246.536,243.814,254.189,251.106,251.878,253.817,254.107,251.78,247.859,262.307,260.281
"Oranges, including tangerines",505.153,486.309,482.862,510.064,498.982,496.848,489.125,492.104,498.217,482.804,515.143,515.942
Other fresh fruits,111.773,115.119,120.402,118.096,119.121,120.54,121.229,126.17,121.676,122.172,120.582,119.273
Fresh vegetables,338.122,338.102,339.046,342.8,347.289,351.859,351.812,349.048,349.421,350.05,347.085,345.253
Potatoes,372.987,369.803,378.883,386.773,391.209,396.472,384.158,382.03,367.577,375.8,370.498,368.929
Lettuce,337.029,324.882,323.178,323.722,324.13,322.566,327.74,323.843,331.71,355.621,366.381,364.916
Tomatoes,334.789,345.662,361.089,355.906,362.734,360.117,361.771,358.655,355.76,360.45,341.902,333.123
Other fresh vegetables,336.948,335.251,329.381,335.912,339.341,345.361,348.479,346.336,348.354,343.775,343.581,346.368
Processed fruits and vegetables,156.621,156.263,158.057,162.246,162.431,163.102,162.881,162.69,163.379,162.907,163.874,164.978
Canned fruits and vegetables,163.377,162.827,164.696,169.5,168.193,170.14,170.656,168.607,170.312,169.312,172.578,173.209
Canned fruits,158.531,159.628,159.038,162.666,162.544,161.949,163.822,162.297,164.341,164.211,167.341,166.992
Canned vegetables,172.628,171.286,174.356,180.702,178.46,181.64,181.278,179.409,180.66,180.704,183.684,184.248
Frozen fruits and vegetables,146.915,145.487,145.908,149.648,152.277,151.156,150.32,151.444,152.47,152.137,150.923,151.902
Frozen vegetables,202.109,202.419,201.453,206.913,208.95,207.266,206.212,207.277,209.009,209.198,208.345,207.784
Other processed fruits and vegetables including dried,154.815,154.254,157.009,157.651,161.882,160.565,160.587,163.277,161.421,159.431,157.643,160.691
"Dried beans, peas, and lentils",182.471,181.507,183.424,185.376,194.491,194.869,195.472,199.128,193.027,189.019,187.216,191.08
Nonalcoholic beverages and beverage materials,171.299,172.074,173.703,178.754,178.799,180.04,179.091,179.274,177.901,177.808,176.274,178.236
Juices and nonalcoholic drinks,134.406,134.594,136.1,141.258,141.281,142.214,141.79,141.662,140.582,140.502,139.376,140.57
Carbonated drinks,170.756,170.797,173.047,180.843,179.149,183.118,183.291,183.368,180.191,181.986,178.845,182.11
Frozen noncarbonated juices and drinks,177.699,175.807,176.258,181.406,181.355,179.43,180.623,180.603,176.68,178.122,176.461,179.249
Nonfrozen noncarbonated juices and drinks,121.62,121.386,122.433,126.782,127.312,127.296,126.681,126.494,126.484,125.717,125.509,126.103
Beverage materials including coffee and tea,115.163,116.392,117.672,118.649,118.027,119.481,117.633,118.299,117.801,118.15,117.02,118.723
Coffee,190.53,192.302,194.287,195.861,193.589,197.037,194.229,194.224,193.691,195.944,192.422,195.956
Roasted coffee,199.209,199.524,202.209,204.72,201.322,204.748,202.864,202.829,202.08,204.533,201.458,203.832
Instant coffee,181.53,184.342,183.167,187.835,188.474,191.835,187.589,189.031,186.482,189.437,179.647,187.177
Other beverage materials including tea,129.74,131.831,131.954,133.88,134.307,132.816,132.234,133.963,132.814,131.207,132.682,134.04
Other food at home,211.52,213.226,214.481,218.541,218.544,219.01,218.619,219.625,218.354,218.989,217.713,219.217
Sugar and sweets,226.31,224.932,226.391,227.387,228.497,226.962,225.011,226.895,228.434,229.884,229.668,230.721
Sugar and sugar substitutes,193.187,194.746,198.07,201.932,204.368,201.617,199.121,199.515,198.475,204.06,209.364,209.734
Candy and chewing gum,154.723,153.671,154.605,154.955,154.793,153.507,151.83,153.738,155.991,156.512,156.482,157.659
Other sweets,155.062,152.81,153.866,153.544,157.269,157.145,157.165,158.259,155.342,158.116,157.15,158.671
Fats and oils,227.01,226.02,228.412,231.33,230.723,230.911,230.527,230.304,229.973,228.933,228.973,230.508
Butter and margarine,207.647,205.127,211.498,209.405,209.095,206.18,207.543,209.29,207.719,207.282,202.758,207.041
Butter,250.299,248.763,255.27,251.853,252.098,247.909,248.671,250.796,246.591,247.356,240.316,244.843
Margarine,300.864,297.962,306.059,303.79,305.472,300.874,307.463,306.839,309.396,305.875,304.268,311.213
Salad dressing,130.954,129.618,131.895,133.122,132.86,132.957,131.905,130.523,131.581,130.101,131.848,132.073
Other fats and oils including peanut butter,154.675,155.337,154.409,158.444,158.004,159.975,159.676,159.096,158.74,158.402,159.691,159.684
Other foods,224.662,227.475,228.633,233.771,233.661,234.575,234.436,235.546,233.513,234.297,232.525,234.236
Soups,245.82,249.729,250.797,257.223,248.736,250.107,252.984,257.244,261.288,259.403,256.163,260.531
Frozen and freeze dried prepared foods,167.661,169.267,169.164,171.763,173.929,172.65,173.044,175.096,173.561,173.186,173.232,174.003
Snacks,246.369,252.516,253.683,263.338,260.068,265.419,264.843,262.682,260.175,262.196,259.768,260.072
"Spices, seasonings, condiments, sauces",240.659,244.346,248.336,251.16,251.056,250.366,249.531,251.973,249.599,252.075,252.176,251.166
Salt and other seasonings and spices,155.083,153.749,157.202,157.272,158.816,157.277,156.094,157.435,155.021,156.704,159.399,162.88
"Olives, pickles, relishes",146.246,146.395,147.653,149.349,145.706,146.043,145.746,148.742,149.616,150.225,149.988,149.458
Sauces and gravies,137.285,141.469,143.837,146.162,146.611,146.374,145.177,147.01,145.73,146.985,145.338,143.104
Other condiments,276.378,274.676,279.57,282.101,275.984,279.519,281.743,282.851,280.717,286.797,282.811,282.269
Baby food,165.818,171.917,172.296,176.949,176.468,176.077,173.111,172.509,173.016,171.91,174.361,172.418
Other miscellaneous foods,133.082,134.348,134.309,137.517,138.23,137.758,138.079,139.084,137.231,137.783,135.908,137.592
Prepared salads,132.98,133.401,133.45,128.687,128.163,128.535,126.5,129.2,128.115,129.262,131.188,133.706
Food away from home,289.137,289.781,290.216,290.639,291.709,293.219,294.599,295.437,297.08,297.893,298.253,299.369
Full service meals and snacks,179.613,180.011,179.94,179.359,179.72,181.276,182.035,182.162,182.638,183.177,183.794,184.314
Limited service meals and snacks,184.856,185.342,186.02,187.311,188.422,189.28,190.472,191.307,193.053,193.708,194.102,195.12
Food from vending machines and mobile vendors,169.929,169.364,169.643,169.64,169.914,170.311,170.286,170.228,170.891,170.598,170.504,170.634
Other food away from home,198.249,198.475,198.759,199.425,199.763,201.685,200.591,202.014,203.052,201.58,201.72,201.855
Energy,219.561,215.139,202.7,182.148,178.787,187.97,192.752,194.43,195.99,196.269,197.112,205.084
Energy commodities,244.659,236.216,211.759,169.495,163.584,182.798,192.542,196.351,196.223,195.219,194.755,210.773
Fuel oil and other fuels,282.074,266.06,242.474,217.723,211.033,224.945,230.111,235.32,228.012,228.994,234.451,248.142
Fuel oil,287.437,262.953,227.036,191.61,179.607,197.899,206.361,214.495,203.232,202.629,209.887,230.79
"Propane, kerosene, and firewood",322.22,322.03,319.742,310.521,313.669,321.18,322.417,320.028,317.955,320.941,321.725,325.738
