,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
Salt and other seasonings and spices,154.491,155.41,154.76,154.246,154.3,155.394,156.025,154.627,154.976,155.488,154.459,154.969
Sauces and gravies,138.51,139.635,140.626,140.206,140.581,140.978,140.324,140.684,139.847,140.159,138.804,138.593
Other condiments,275.412,277.069,279.733,277.402,274.094,278.138,273.755,275.707,284.41,279.585,279.601,278.637
Baby food,167.895,168.237,166.239,168.373,167.274,168.992,168.936,169.998,168.867,170.783,170.38,167.801
Other miscellaneous foods,131.453,131.374,131.504,131.972,131.379,131.948,131.27,132.224,132.521,132.61,132.925,134.417
Prepared salads,126.934,126.068,126.641,127.19,123.735,124.551,125.949,125.396,125.51,128.071,128.787,133.665
Food away from home,280.38,281.373,281.887,282.798,283.394,284.316,284.891,285.507,286.246,286.791,287.255,288.078
Full service meals and snacks,173.624,174.151,174.395,175.083,175.517,176.493,176.832,177.263,177.743,178.117,178.585,178.981
Limited service meals and snacks,179.659,180.525,180.931,181.466,181.813,181.897,182.264,182.556,182.911,183.223,183.32,184.074
Food at employee sites and schools,179.403,179.859,180.122,180.321,180.036,181.236,182.375,181.932,182.099,182.603,182.612,182.27
Food from vending machines and mobile vendors,163.357,163.208,163.7,163.756,165.77,166.172,167.061,168.517,168.777,168.681,169.395,169.431
Other food away from home,194.422,194.36,195.182,195.17,194.857,196.262,196.711,196.744,197.715,198.339,198.339,198.31
Energy,206.576,209.381,215.149,220.374,218.845,214.878,216.806,213.866,212.215,215.917,217.639,221.132
Energy commodities,218.185,224.95,236.304,246.961,244.903,237.886,241.284,235.822,232.317,238.297,241.239,248.592
Fuel oil and other fuels,273.724,279.247,282.757,284.1,285.214,280.777,280.659,278.962,276.698,279.641,281.793,286.142
Fuel oil,269.886,279.417,284.046,286.776,287.483,282.427,283.27,280.761,279.079,282.287,285.215,288.449
