,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
Transportation services,323.915,323.714,323.812,324.322,323.949,324.253,324.722,325.538,326.186,326.478,326.457,326.053
Leased cars and trucks,89.925,88.488,87.964,87.892,86.809,86.196,86.112,86.095,86.407,86.396,85.841,85.24
Car and truck rental,129.978,123.193,120.211,122.62,124.154,125.83,126.807,125.638,126.519,131.747,137.467,135.238
Motor vehicle maintenance and repair,290.758,291.993,294.226,295.266,294.586,295.67,295.377,297.884,298.441,298.925,299.26,299.614
Motor vehicle body work,306.554,307.83,307.748,310.724,311.14,313.709,314.06,315.707,317.517,318.572,318.36,319.654
Motor vehicle maintenance and servicing,264.11,264.883,267.155,267.823,267.807,268.853,267.711,270.935,272.279,272.41,272.934,273.386
Motor vehicle repair,176.627,177.765,179.096,179.958,178.706,179.144,179.872,180.406,179.729,180.317,180.352,180.348
Motor vehicle insurance,570.835,571.303,570.595,570.843,569.249,570.142,571.278,571.483,572.114,571.834,571.006,571.792
Motor vehicle fees,190.909,191.515,191.578,192.022,192.33,192.175,192.534,192.528,193.711,194.724,194.994,195.327
State motor vehicle registration and license fees,179.335,179.698,179.479,179.795,179.75,179.526,180.027,180.598,181.871,183.034,183.185,183.347
Parking and other fees,209.385,210.336,210.774,211.389,212.162,212.101,212.279,211.506,212.637,213.484,213.915,214.472
Parking fees and tolls,236.436,236.845,237.22,238.162,238.932,239.422,239.531,238.402,240.177,240.538,240.702,241.6
Public transportation,255.725,256.738,257.299,257.607,259.399,259.618,260.448,261.729,261.886,261.221,261.162,259.672
Airline fares,260.972,261.139,261.341,261.794,264.654,265.461,267.01,268.704,269.524,268.515,267.853,266.306
Other intercity transportation,158.035,158.551,159.688,160.603,162.508,159.697,156.71,160.115,160.252,158.29,158.924,156.218
Intercity bus fare,140.26,135.272,147.392,151.651,154.854,155.238,153.706,157.198,159.158,155.056,170.179,171.677
Ship fare,64.605,65.128,66.249,67.111,66.992,65.07,64.359,65.121,64.801,63.926,63.234,62.402
Intracity transportation,320.203,321.011,322.114,321.668,325.265,322.159,323.42,326.006,324.016,324.915,326.193,322.767
Intracity mass transit,128.408,128.398,128.673,128.673,130.168,130.178,130.496,130.642,130.405,130.55,130.55,130.55
Recreation services,123.627,123.328,123.939,124.238,123.674,123.617,123.815,124.349,124.31,125.229,125.891,126.415
Video and audio services,127.079,126.711,126.746,126.742,126.73,126.895,126.958,127.699,128.242,128.821,129.219,130.12
Cable and satellite television service,477.067,475.01,474.858,475.089,475.313,475.537,477.038,479.822,481.749,484.505,486.464,490.335
"Video discs and other media, including rental of video",74.527,76.116,76.893,76.236,75.507,76.659,73.329,73.75,74.37,73.156,72.148,71.377
Video discs and other media,38.789,40.004,40.284,39.443,39.166,39.682,37.218,37.502,37.414,36.364,35.788,35.35
Rental of video discs and other media,129.37,129.457,132.573,134.836,133.271,136.189,136.848,136.848,137.675,137.535,136.219,134.491
Pet services including veterinary,249.403,250.614,251.215,251.784,252.429,253.144,254.369,254.767,255.112,255.992,257.136,258.652
Veterinarian services,261.394,262.767,264.18,264.754,265.858,266.652,268.028,268.923,269.177,270.248,271.638,272.967
Photographers and photo processing,122.532,122.25,121.887,120.359,121.261,120.11,120.114,117.877,117.602,119.006,118.919,118.627
Photo processing,112.601,116.121,117.595,114.236,113.242,111.245,111.352,112.18,111.753,112.36,112.72,112.031
Other recreation services,170.934,170.307,171.975,172.812,171.043,170.606,170.919,171.622,170.821,172.659,173.96,174.213
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",142.221,143.416,143.262,143.983,140.975,140.561,141.982,142.489,141.79,143.243,144.777,145.706
Admissions,387.649,379.329,388.234,390.408,389.98,388.335,386.189,388.735,387.918,393.992,395.453,394.496
"Admission to movies, theaters, and concerts",182.806,183.353,184.355,184.811,186.395,185.882,186.611,187.345,186.828,188.214,188.09,187.226
Admission to sporting events,231.572,214.823,226.098,232.26,224.952,224.517,223.008,225.016,221.414,223.859,232.212,235.763
Fees for lessons or instructions,316.052,317.446,319.77,320.038,319.871,320.552,320.314,320.148,317.051,316.647,320.39,320.252
Education and communication services,110.001,110.232,110.338,110.529,110.707,110.88,111.03,111.095,111.169,111.418,111.807,111.994
"Tuition, other school fees, and childcare",753.97,756.242,759.008,760.49,762.371,763.376,764.066,764.513,765.228,766.661,767.914,769.095
College tuition and fees,857.497,859.716,863.258,865.069,866.42,866.455,865.971,866.384,867.015,867.835,868.955,869.535
Elementary and high school tuition and fees,856.978,860.031,862.599,865.112,865.883,868.385,871.693,870.952,868.496,873.255,875.217,878.048
Day care and preschool,298.62,299.52,300.176,300.55,302.154,303.191,304.413,304.471,305.352,306.044,306.917,307.837
Technical and business school tuition and fees,252.299,252.391,251.328,252.817,253.907,255.011,256.19,251.367,253.606,254.066,254.286,254.597
Postage and delivery services,189.684,192.405,192.882,193.641,194.154,194.734,195.266,195.772,196.355,197.043,197.59,197.979
Postage,298.125,302.453,303.113,304.249,305.142,306.022,306.852,307.75,308.676,309.612,310.558,310.916
Delivery services,309.792,313.869,315.302,316.958,317.159,318.34,319.252,319.324,320.208,322.394,322.655,325.136
Telephone services,88.893,88.861,88.859,89.004,89.069,89.237,89.346,89.3,89.518,89.746,90.172,90.287
Wireless telephone services,46.465,46.399,46.342,46.427,46.4,46.458,46.431,46.368,46.322,46.299,46.387,46.412
Land,117.866,118.186,118.592,118.711,119.25,119.688,120.449,120.669,122.137,123.474,125.027,125.437
Internet services and electronic information providers,76.811,77.121,76.631,76.698,76.755,76.86,77.107,77.368,76.931,77.138,77.674,77.932
Other personal services,123.899,124.585,124.262,124.025,124.393,124.524,125.097,125.303,125.434,125.647,125.823,126.299
Personal care services,268.556,269.302,269.664,269.459,269.429,269.941,271.295,272.385,272.645,273.425,274.682,275.461
Haircuts and other personal care services,163.863,164.319,164.539,164.414,164.396,164.708,165.534,166.2,166.358,166.834,167.601,168.076
Miscellaneous personal services,446.699,449.832,446.716,444.935,446.867,447.084,448.909,449.632,450.645,451.155,451.097,453.233
Legal services,363.948,367.054,367.076,362.839,362.964,363.152,365.428,365.428,365.193,365.193,364.384,364.384
Funeral expenses,334.714,335.216,335.913,336.752,338.063,337.998,338.257,338.612,338.776,339.009,339.836,341.837
Laundry and dry cleaning services,172.213,172.911,174.213,174.748,175.187,175.869,176.177,176.628,177.497,177.734,177.883,178.513
Apparel services other than laundry and dry cleaning,194.982,195.396,196.607,195.034,194.846,196.782,198.693,198.585,198.295,200.907,201.64,202.038
Financial services,366.382,372.588,359.223,358.724,362.985,361.86,363.375,363.467,364.079,364.849,364.757,368.519
Checking account and other bank services,172.297,172.297,172.297,172.297,172.297,172.297,172.297,172.297,172.382,172.617,172.617,172.617
Tax return preparation and other accounting fees,256.585,262.951,244.686,245.159,254.104,252.936,254.47,254.009,254.009,254.064,253.03,256.19
All items less food,251.987,252.57,253.536,254.534,254.699,254.931,255.717,255.939,256.213,256.865,257.498,258.15
All items less shelter,231.799,232.286,233.16,233.921,233.933,233.897,234.528,234.591,234.643,235.356,235.877,236.493
All items less food and shelter,225.454,225.84,226.777,227.732,227.612,227.513,228.275,228.328,228.289,229.041,229.598,230.258
"All items less food, shelter, and energy",231.408,231.368,231.455,231.661,231.79,232.379,232.942,233.529,233.777,234.011,234.368,234.531
"All items less food, shelter, energy, and used cars and trucks",237.022,237.013,237.191,237.351,237.586,238.06,238.62,239.194,239.379,239.794,240.267,240.498
All items less medical care,241.172,241.838,242.723,243.534,243.676,243.86,244.47,244.548,244.801,245.267,245.811,246.351
All items less energy,259.186,259.606,260.046,260.467,260.866,261.521,262.088,262.609,263.104,263.44,263.928,264.268
Commodities,183.075,183.805,184.822,185.677,185.641,185.354,185.811,185.454,185.309,185.629,185.891,186.61
"Commodities less food, energy, and used cars and trucks",145.651,145.508,145.395,145.197,145.326,145.539,145.715,145.797,145.749,145.407,145.391,145.406
Commodities less food,150.81,151.438,152.561,153.71,153.458,153.004,153.587,153.092,152.749,152.987,153.21,154.003
Commodities less food and beverages,147.39,148.019,149.167,150.349,150.067,149.591,150.162,149.654,149.317,149.57,149.816,150.616
Services,321.133,321.661,322.438,323.273,323.729,324.531,325.413,326.163,326.933,327.881,328.751,329.323
Services less rent of shelter,339.639,339.879,340.368,341.008,341.217,341.694,342.531,343.566,343.98,345.633,346.731,347.023
Services less medical care services,305.499,306.109,306.895,307.813,307.995,308.669,309.357,309.937,310.67,311.386,312.198,312.625
Durables,104.845,104.81,104.777,104.683,104.556,104.821,104.939,105.043,104.941,104.908,104.626,104.367
Nondurables,222.595,224.16,226.131,227.188,227.551,226.599,227.743,226.926,226.447,227.361,227.788,229.159
Nondurables less food,194.311,196.382,199.436,201.4,201.611,199.78,201.674,200.115,198.969,200.129,200.394,202.585
Nondurables less food and beverages,190.778,192.909,196.182,198.275,198.44,196.477,198.429,196.762,195.587,196.839,197.159,199.47
"Nondurables less food, beverages, and apparel",235.505,239.16,245.721,249.379,249.61,245.634,248.521,245.658,244.167,247.43,247.77,251.277
Nondurables less food and apparel,235.765,239.182,245.064,248.375,248.676,245.102,247.804,245.229,243.841,246.742,246.99,250.179
Housing,262.588,263.177,263.914,264.565,265.028,265.758,266.474,266.814,267.558,267.992,268.591,268.94
Education and communication,136.978,137.165,137.276,137.406,137.56,137.635,137.9,138.078,138.031,138.17,138.583,138.677
Education,262.985,263.766,264.654,265.144,265.713,266.064,266.223,266.519,266.612,267.042,267.482,267.873
Communication,73.06,73.059,72.956,72.968,72.985,72.976,73.2,73.307,73.238,73.273,73.577,73.577
Information and information processing,69.129,69.097,68.991,68.994,69.004,68.988,69.201,69.299,69.225,69.251,69.542,69.537
"Information technology, hardware and services",7.44,7.435,7.403,7.381,7.374,7.343,7.391,7.429,7.372,7.345,7.368,7.348
Recreation,120.453,119.96,120.324,120.502,120.175,120.089,120.081,120.503,120.498,121.236,121.702,121.846
Video and audio,104.913,104.462,104.274,104.304,104.167,104.14,104.051,104.501,104.77,105.151,105.312,105.818
"Pets, pet products and services",175.095,176.012,176.45,177.021,177.778,177.991,178.934,178.665,178.679,179.383,179.775,180.467
Photography,74.153,73.539,73.376,73.2,73.584,73.529,73.851,73.287,73.458,73.649,73.58,73.089
Food and beverages,255.873,256.781,257.3,257.141,257.783,258.052,258.134,258.244,258.644,259.105,259.373,259.771
Domestically produced farm food,248.677,249.297,250.202,249.289,249.572,249.457,249.198,248.88,249.301,249.786,250.221,250.239
Other services,356.198,356.571,357.151,357.622,357.509,357.798,358.47,359.227,359.403,360.806,362.191,363.22
Apparel less footwear,118.071,118.177,116.691,116.323,116.272,117.274,117.475,117.31,116.891,114.483,115.195,115.321
Fuels and utilities,243.405,242.519,242.863,242.775,242.046,241.276,241.8,241.547,241.839,243.39,243.993,243.848
Household energy,201.757,200.722,200.894,200.603,199.673,198.682,199.093,198.681,198.845,200.297,200.841,200.545
Medical care,489.665,489.509,491.04,492.66,494.63,495.947,498.223,501.174,502.455,506.695,508.362,510.679
Transportation,205.439,206.719,209.303,211.987,211.243,210.135,211.136,210.216,209.752,210.734,211.119,212.571
Private transportation,201.123,202.411,205.097,207.903,207.014,205.836,206.839,205.796,205.299,206.371,206.78,208.396
New and used motor vehicles,99.702,99.292,99.212,99.437,99.105,99.48,99.651,99.738,99.928,99.541,99.244,99.057
Utilities and public transportation,217.191,217.268,217.752,217.722,217.336,216.777,216.995,217.327,217.897,219.36,220.196,219.841
Household furnishings and operations,123.184,123.254,123.295,122.993,123.087,123.91,124.357,124.235,124.538,124.352,124.329,124.062
Other goods and services,445.971,448.377,448.494,448.514,449.884,449.578,451.697,453.196,453.384,455.058,455.816,455.388
Personal care,232.227,233.515,232.888,232.902,233.542,233.136,234.077,234.749,234.603,235.578,235.797,235.31
